user_id,regno,active,reflective,sensing,intuitive,verbal,visual,global,sequential,ALA_single,ALA_repeat,WMC_nonlinear,WMC_linear,IRA_H,IRA_Low,IPS_High,IPS_Low
242452,H31/2775/2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
242454,H31/2777/2016,0.78,0.22,0,0,0,0,0,0,1,0,0.26,0.74,0.3,0.48,0,0
242455,H31/2778/2016,0.96,0.04,0,0,0,0,0,0,1,0,0.29,0.71,0.48,0.7,0,0
242457,H31/2780/2016,0.84,0.16,0,0,0,0,0,0,0,0,0.26,0.74,0,0,1,0
242458,H31/2781/2016,0.59,0.41,0,0,0,0,0,0,1,0,0.16,0.84,0.37,0.59,1,0
242460,H31/2783/2016,0.43,0.57,0,0,0,0,0,0,1,0,0.05,0.95,0.44,0.72,1,0
242462,H31/2785/2016,0,0,0,0,0,0,1,0,0,0,0.2,0.8,0,0,1,0
242467,H31/2790/2016,0,1,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0
242469,H31/35132/2015,0.7,0.3,0,0,0,0,0,0,1,0,0.01,0.99,0.39,0.63,1,0
242474,H31/35318/2015,0.29,0.71,0,0,0,0,0,0,0,0,0.03,0.97,0,0,1,0
242476,H31/35392/2015,0.45,0.55,0,0,0,0,0,0,0,0,0.05,0.95,0,0,1,0
242477,H31/35415/2015,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
242480,H31/35546/2015,0.49,0.51,0,0,0,0,0,0,0,0,0.19,0.81,0,0,0,0
242483,H31/35606/2015,0.64,0.36,0.66,0.34,0.36,0.64,0.1,0.9,1,0,0.03,0.97,0.39,0.63,0,0
242486,H31/35868/2015,0.7,0.3,0,0,0,0,0,0,1,0,0.07,0.93,0.4,0.57,1,0
242488,H31/35909/2015,0.86,0.14,0,0,0,0,0,0,0,0,0.54,0.46,0,0,0,0
242489,H31/35918/2015,0.29,0.71,0,0,0,0,0,0,1,0,0,0,0,0,0,0
245282,V28/2525/2016,0.29,0.71,0,0,0,0,0,0,0,0,0.14,0.86,0,0,0,0
245931,H31/35540/2015,0,1,0,0,0,0,0,0,0,0,0.22,0.78,0,0,1,0
246100,H31/36262/2016,0.52,0.48,0,0,0,0,0,0,0,0,0.26,0.74,0,0,0,0
246174,H31/35923/2015,0.58,0.42,0,0,0,0,0,0,1,0,0.19,0.81,0.39,0.62,0,0
246453,H31/35410/2015,0,0,0,0,0,0,1,0,0,0,0.02,0.98,0,0,0,0
246454,H31/35488/2015,0,1,0,0,0,0,0,0,0,0,0.09,0.91,0,0,0,0
246455,H31/35668/2015,0.79,0.21,0,0,0,0,0,0,1,0,0.02,0.98,0.46,0.73,0,0
246456,H31/35697/2015,0.45,0.55,0,0,0,0,0,0,0,0,0.31,0.69,0,0,1,0
246457,H31/35739/2015,0.53,0.47,0,0,0,0,0,0,1,0,0.06,0.94,0.33,0.53,1,0
246458,H31/35943/2015,0.79,0.21,0,0,0,0,0,0,1,0,0.07,0.93,0.49,0.79,1,0
246461,H31/36154/2015,0,1,0,0,0,0,0,0,0,0,0.55,0.45,0,0,1,0
246465,H31/36429/2016,0,1,0,0,0,0,0,0,0,0,0.23,0.77,0,0,1,0
246466,H31/36459/2016,0.13,0.87,0.82,0.18,0.23,0.77,0.1,0.9,1,0,0,0,0,0,1,0
246471,H31/36650/2016,0,1,0,0,0,0,0,0,0,0,0.12,0.88,0,0,1,0
246473,H31/36668/2016,0,0,0,0,0,0,1,0,0,0,0.11,0.89,0,0,0,0
246475,H31/36688/2016,0.14,0.86,0,0,0,0,0,0,0,0,0,1,0,0,0,0
246476,H31/36693/2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
246477,H31/36698/2016,0.66,0.34,0,0,0,0,0,0,1,0,0.27,0.73,0.41,0.67,1,0
246479,H31/36700/2016,0.61,0.39,0,0,0,0,0,0,0,0,0.08,0.92,0,0,0,0
246480,H31/36720/2016,0.61,0.39,0,0,0,0,0,0,0,0,0.17,0.83,0,0,1,0
246835,H31/35481/2015,0.06,0.94,0,0,0,0,0,0,0,0,0.02,0.98,0,0,0,0
246848,H31/36809/2016,0.47,0.53,0.36,0.64,0.08,0.92,0.17,0.83,0,0,0,0,0.45,0,1,0
246849,H31/36949/2016,0.88,0.12,0,0,0,0,0,0,0,0,0.35,0.65,0,0,0,0
